index,Category,Organization,Filed,Sub-Docket,Accession,Description,Accession_Num
213,Filed By,Orsted Wind Power North America LLC,12/14/2022,0,20221214-5122 Go to Doc InfoGo to File List,Reply Comments of Orsted North America under RM22-14. Erroneously filed,20221214-5122
214,Filed By,MISO Transmission Owners,12/14/2022,0,20221214-5128 Go to Doc InfoGo to File List,Reply Comments of The MISO Transmission Owners RM22-14.,20221214-5128
215,Filed By,WIRES,12/14/2022,0,20221214-5136 Go to Doc InfoGo to File List,Reply Comments of WIRES under RM22-14.,20221214-5136
216,Filed By,American Public Power Association Large Public Power Council,12/14/2022,0,20221214-5137 Go to Doc InfoGo to File List,Reply Comments of American Public Power Association and Large Public Power Council under RM22-14.,20221214-5137
217,Filed By,"New York Independent System Operator, Inc.",12/14/2022,0,20221214-5138 Go to Doc InfoGo to File List,"Reply Comments of the New York Independent System Operator, Inc. under RM22-14.",20221214-5138
218,Filed By,Alliance for Clean Energy New York,12/14/2022,0,20221214-5147 Go to Doc InfoGo to File List,Reply Comments of Alliance for Clean Energy New York under RM22-14.,20221214-5147
219,Filed By,Pacific Gas and Electric Company,12/14/2022,0,20221214-5148 Go to Doc InfoGo to File List,Reply Comments of Pacific Gas and Electric Company under RM22-14.,20221214-5148
220,Filed By,"Invenergy Solar Development North America LLC Invenergy Thermal Development LLC Invenergy Wind Development North America LLC , Invenergy Transmission LLC ,",12/14/2022,0,20221214-5149 Go to Doc InfoGo to File List,"Reply Comments of Invenergy Solar Development North America LLC, et. al. under RM22-14.",20221214-5149
221,Filed By,Edison Electric Institute,12/14/2022,0,20221214-5152 Go to Doc InfoGo to File List,Reply Comments of Edison Electric Institute under RM22-14.,20221214-5152
222,Filed By,Orsted Wind Power North America LLC,12/14/2022,0,20221214-5145 Go to Doc InfoGo to File List,Reply Comments of Orsted North America under RM22-14.,20221214-5145
223,Filed By,Xcel Energy Services Inc.,12/14/2022,0,20221214-5146 Go to Doc InfoGo to File List,Reply comments of Xcel Energy Services Inc. under RM22-14.,20221214-5146
224,Filed By,WATT Coalition,12/14/2022,0,20221214-5150 Go to Doc InfoGo to File List,Reply Comments of WATT Coalition under RM22-14.,20221214-5150
225,Filed By,"Sierra Club EARTHJUSTICE NATURAL RESOURCES DEFENSE COUNCIL , SOUTHERN ENVIRONMENTAL LAW CENTER , Sustainable FERC Project , ENVIRONMENTAL DEFENSE FUND ,",12/15/2022,0,20221215-5071 Go to Doc InfoGo to File List,"Reply Comments of Sierra Club, et al. under RM22-14.",20221215-5071
233,Filed By,"Elevate Renewables F7, LLC",04/03/2023,0,20230403-5317 Go to Doc InfoGo to File List,"Comments of Elevate Renewables F7, LLC under RM22-14.",20230403-5317
234,Filed By,Individual No Affiliation,04/26/2023,0,20230426-5284 Go to Doc InfoGo to File List,"Comments of US Sen. John Barrasso, M.D. (WY), Ranking Member of the Senate Committee on Natural Resources, under PL18-1, et. al.",20230426-5284
237,Filed By,R Street Institute,06/08/2023,0,20230608-5155 Go to Doc InfoGo to File List,Comments of R Street Institute et al. in Support of Generator Interconnection Reform under RM22-14.,20230608-5155
239,Filed By,"AES Clean Energy Development, LLC",06/15/2023,0,20230615-5029 Go to Doc InfoGo to File List,"Comments of AES Clean Energy Development, LLC re the Notice of Proposed Rulemaking of the Generator Interconnection Procedures under RM22-14.",20230615-5029
241,Filed By,UNITED STATES SENATE,07/24/2023,0,20230724-4001 Go to Doc InfoGo to File List,Comments of U.S. Senator Charles E. Schumer re the transmission planning and cost allocation rule etc. under RM22-14 et al.,20230724-4001
288,Filed By,US SENATOR,09/12/2023,0,20230912-4000 Go to Doc InfoGo to File List,"Comments of U.S. Senator Kevin Cramer on ongoing rulemakings regarding transmission planning, cost allocation, and federal backstop siting authority under RM22-14.",20230912-4000
301,Filed By,California Independent System Operator Corporation,10/05/2023,0,20231005-5087 Go to Doc InfoGo to File List,Comments of California Independent System Operator Corporation in Support of Joint Motion for Extension of Time to submit compliance filings under RM22-14.,20231005-5087
320,Filed By,"Cogentrix Energy Power Management, LLC",10/19/2023,0,20231019-5131 Go to Doc InfoGo to File List,"Comments of Cogentrix Energy Power Management, LLC in Support of Extending Time for Compliance Filings under RM22-14.",20231019-5131
381,Filed By,Bekaert,04/03/2024,1,20240403-5058 Go to Doc InfoGo to File List,Comments of Bekaert encouraging FERC to add additional terminology to the definition of advanced conductors used Order No. 2023-A under RM22-14.,20240403-5058
426,Filed By,US SENATOR,02/28/2025,0,20250228-4001 Go to Doc InfoGo to File List,Comments of U.S. Senator Sheldon Whitehouse et al. urging the Commission to render a decision on the Order 2023 Interconnection Rule re Independent System Operator-New England's et al. compliance filings under RM22-14 et al.,20250228-4001
