index,Category,Organization,Filed,Sub-Docket,Accession,Description,Accession_Num
10,Filed By,Administrative Committee of the Consolidated Transmission Ow,08/05/2010,0,20100805-5121 Go to Doc InfoGo to File List,"Motion of the Administrative Committee of the Consolidated Transmission Owners Agreement of PJM Interconnection, L.L.C. to Extend the Period for Filing Comments under RM10-23.",20100805-5121
11,Filed By,Southern California Edison Company,08/06/2010,0,20100806-5063 Go to Doc InfoGo to File List,Southern California Edison Company (SCE) Motion To Intervene And Comments In Support Of The Motion To Extend The Period For Filing Comments under RM10-23.,20100806-5063
13,Filed By,Arizona Corporation Commission,08/06/2010,0,20100806-5116 Go to Doc InfoGo to File List,"Answer Of The Arizona Corporation Commission In Support Of Motion To Extend The Period For Filing Comments Filed By Committee Of The Consolidated Transmission Owners Agreement Of Pjm Interconnection, L.L.C. under RM10-23-000.",20100806-5116
24,Filed By,New England Power Pool Participants Committee,09/24/2010,0,20100924-5053 Go to Doc InfoGo to File List,Comments of New England Power Pool Participants Committee under RM10-23.,20100924-5053
25,Filed By,Public Utilities Commission of Nevada,09/24/2010,0,20100924-5005 Go to Doc InfoGo to File List,Comments of the Public Utilities Commission of Nevada under RM10-23.,20100924-5005
27,Filed By,Gaelectric LLC,09/27/2010,0,20100927-5234 Go to Doc InfoGo to File List,Comments of Gaelectric LLC under RM10-23.,20100927-5234
29,Filed By,Western Grid Group,09/27/2010,0,20100927-5151 Go to Doc InfoGo to File List,"Comments of Western Grid Group on Notice of Proposed Rulemaking, ""Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities"" in Docket RM10-23.",20100927-5151
32,Filed By,Minnesota Office of Energy Security MINNESOTA PUBLIC UTILITIES COMMISSION,09/28/2010,0,20100928-5369 Go to Doc InfoGo to File List,Comments of MINNESOTA PUBLIC UTILITIES COMMISSION and MINNESOTA OFFICE OF ENERGY SECURITY regarding Transmission Planning and Cost Allocations under Docket No. RM10-23-000.,20100928-5369
33,Filed By,Western Independent Transmission Group,09/28/2010,0,20100928-5465 Go to Doc InfoGo to File List,Motion for Leave to File Reply Comments of the Western Independent Transmission Group under RM10-23.,20100928-5465
34,Filed By,"New York Independent System Operator, Inc.",09/28/2010,0,20100928-5406 Go to Doc InfoGo to File List,"Comments of New York Independent System Operator, Inc. under RM10-23-000.",20100928-5406
